Category number,E-number,Name,Maximum level (mg/l or mg/kg as appropriate),Footnotes,Restrictions/exceptions,Category name
10.2,E 200-202,Sorbic acid - potassium sorbate,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only dehydrated and concentrated frozen and deep-frozen egg products,Processed eggs and egg products
10.2,E 200-213,Sorbic acid - potassium sorbate; Benzoic acid - benzoates,5 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only liquid egg (white, yolk or whole egg)",Processed eggs and egg products
10.2,E 234,Nisin,"6,25",,"only pasteurised liquid egg (white, yolk or whole egg)",Processed eggs and egg products
10.2,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",10 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,"only liquid egg (white, yolk or whole egg)",Processed eggs and egg products
10.2,E 392,Extracts of rosemary,200,As the sum of carnosol and carnosic acid,,Processed eggs and egg products
10.2,E 426,Soybean hemicellulose,10 000,,only dehydrated and concentrated frozen and deep frozen egg products,Processed eggs and egg products
10.2,E 475,Polyglycerol esters of fatty acids,1 000,,,Processed eggs and egg products
10.2,E 520-523,Aluminium sulphates,30,The additives may be added individually or in combination ; Expressed as aluminium,"only egg white
 Period of application:
 until 31 January 2014",Processed eggs and egg products
10.2,E 520,Aluminium sulphate,25,Expressed as aluminium,"Liquid egg white for egg foams only
 Period of application:
 from 1 February 2014",Processed eggs and egg products
10.2,E 553b,Talc,5 400,,"only on the surface of unpeeled coloured boiled eggs
 Period of application:
 From 13 August 2012",Processed eggs and egg products
10.2,E 903,Carnauba wax,3 600,,"only on the surface of unpeeled coloured boiled eggs
 Period of application:
 From 13 August 2012",Processed eggs and egg products
10.2,E 904,Shellac,quantum satis,,"only on the surface of unpeeled boiled eggs
 Period of application:
 From 13 August 2012",Processed eggs and egg products
10.2,E 1505,Triethyl citrate,quantum satis,,only dried egg white,Processed eggs and egg products
11.1,E 220-228,Sulphur dioxide - sulphites,10,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present","only sugars, except glucose syrup",Sugars and syrups as defined by Directive 2001/111/EC
11.1,E 220-228,Sulphur dioxide - sulphites,20,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present","only glucose syrup, whether or not dehydrated",Sugars and syrups as defined by Directive 2001/111/EC
11.1,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",10 000,The maximum level is expressed as P2O5,only dried powdered foods,Sugars and syrups as defined by Directive 2001/111/EC
11.1,E 551-559,Silicon dioxide - silicates,quantum satis,The additives may be added individually or in combination,"only foods in tablet and coated tablet form
 Period of application:
 until 31 January 2014",Sugars and syrups as defined by Directive 2001/111/EC
11.1,E 551-553,Silicon dioxide - silicates,quantum satis,The additives may be added individually or in combination,"only foods in tablet and coated tablet form
 Period of application:
 from 1 February 2014",Sugars and syrups as defined by Directive 2001/111/EC
11.1,E 551-559,Silicon dioxide - silicates,10 000,The additives may be added individually or in combination,"only dried powdered foods
 Period of application:
 until 31 January 2014",Sugars and syrups as defined by Directive 2001/111/EC
11.1,E 551-553,Silicon dioxide - silicates,10 000,The additives may be added individually or in combination,"only dried powdered foods
 Period of application:
 from 1 February 2014",Sugars and syrups as defined by Directive 2001/111/EC
11.2,Group I,Additives,,,,Other sugars and syrups
11.2,E 220-228,Sulphur dioxide - sulphites,40,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",,Other sugars and syrups
11.2,E 220-228,Sulphur dioxide - sulphites,70,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",only treacle and molasses,Other sugars and syrups
11.4.1,Group IV,Polyols,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 950,Acesulfame K,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 951,Aspartame,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 952,Cyclamic acid and its Na and Ca salts,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 954,"Saccharin and its Na, K and Ca salts",quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 955,Sucralose,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 957,Thaumatin,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 959,Neohesperidine DC,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 960,Steviol glycosides,QS,Expressed as steviol equivalents,,Table-top sweeteners in liquid form
11.4.1,E 961,Neotame,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 962,Salt of aspartame-acesulfame,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 200-219,Sorbic acid - potassium sorbate; Benzoic acid - benzoates; p-hydroxybenzoates,500,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only if the water content higher than 75 %,Table-top sweeteners in liquid form
11.4.1,E 330,Citric acid,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 331,Sodium citrates,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 407,Carrageenan,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 410,Locust bean gum,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 412,Guar gum,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 413,Tragacanth,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 414,Gum arabic (acacia gum),quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 415,Xanthan gum,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 418,Gellan gum,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 422,Glycerol,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 440,Pectins,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 460 (i),"Microcrystalline Cellulose, Cellulose gel",quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 463,Hydroxypropyl cellulose,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 464,Hydroxypropyl methyl cellulose,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 465,Ethyl methyl cellulose,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 466,"Sodium carboxy methyl cellulose, Cellulose gum",quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 500,Sodium carbonates,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 501,Potassium carbonates,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 575,Glucono-delta-lactone,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 640,Glycine and its sodium salt,quantum satis,,,Table-top sweeteners in liquid form
11.4.1,E 969,Advantame,quantum satis,,,Table-top sweeteners in liquid form
11.4.2,Group IV,Polyols,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 950,Acesulfame K,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 951,Aspartame,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 952,Cyclamic acid and its Na and Ca salts,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 954,"Saccharin and its Na, K and Ca salts",quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 955,Sucralose,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 957,Thaumatin,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 959,Neohesperidine DC,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 960,Steviol glycosides,QS,Expressed as steviol equivalents,,Table-top sweeteners in powder form
11.4.2,E 961,Neotame,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 962,Salt of aspartame-acesulfame,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 327,Calcium lactate,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 330,Citric acid,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 331,Sodium citrates,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 336,Potassium tartrates,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 341,Calcium phosphates,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 407,Carrageenan,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 410,Locust bean gum,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 412,Guar gum,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 413,Tragacanth,quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 414,Gum arabic (acacia gum),quantum satis,,,Table-top sweeteners in powder form
11.4.2,E 415,Xanthan gum,quantum satis,,,Table-top sweeteners in powder form
