Authorised novel food,Conditions under which the novel food may be used,Conditions under which the novel food may be used,Additional specific labelling requirements,Other requirements,Data Protection,footnote
UV-treated baker’s yeast (Saccharomyces cerevisiae),Yeast-leavened breads and rolls,5 μg of vitamin D2/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Vitamin D yeast’ or ‘Vitamin D2 yeast’,,,
UV-treated baker’s yeast (Saccharomyces cerevisiae),Yeast-leavened fine bakery wares,5 μg of vitamin D2/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Vitamin D yeast’ or ‘Vitamin D2 yeast’,,,
UV-treated baker’s yeast (Saccharomyces cerevisiae),Food Supplements as defined in Directive 2002/46/EC,5 μg of vitamin D2/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Vitamin D yeast’ or ‘Vitamin D2 yeast’,,,
UV-treated bread,Specified food category,Maximum levels of vitamin D2,The designation on the label of the novel food shall be accompanied by ‘contains vitamin D produced by UV-treatment’,,,
UV-treated bread,Yeast leavened bread and rolls (without toppings),3 μg vitamin D2/100 g,The designation on the label of the novel food shall be accompanied by ‘contains vitamin D produced by UV-treatment’,,,
UV-treated milk,Specified food category,Maximum levels of vitamin D3,"1.
The designation on the label of the novel food shall be ‘UV-treated’.
2.
Where UV-treated milk contains an amount of vitamin D that is considered significant in accordance with Point 2 of Part A of Annex XIII to Regulation (EU) No 1169/2011 of the European Parliament and of the Council, the designation for the labelling shall be accompanied by ‘contains vitamin D produced by UV-treatment’ or ‘milk containing vitamin D resulting from UV-treatment’.",,,
UV-treated milk,Pasteurised whole milk as defined in Regulation (EU) No 1308/2013 to be consumed as such,5-32 μg/kg for general population excluding infants,"1.
The designation on the label of the novel food shall be ‘UV-treated’.
2.
Where UV-treated milk contains an amount of vitamin D that is considered significant in accordance with Point 2 of Part A of Annex XIII to Regulation (EU) No 1169/2011 of the European Parliament and of the Council, the designation for the labelling shall be accompanied by ‘contains vitamin D produced by UV-treatment’ or ‘milk containing vitamin D resulting from UV-treatment’.",,,
UV-treated milk,Pasteurised semi-skimmed milk as defined in Regulation (EU) No 1308/2013 to be consumed as such,1-15 μg/kg for general population excluding infants,"1.
The designation on the label of the novel food shall be ‘UV-treated’.
2.
Where UV-treated milk contains an amount of vitamin D that is considered significant in accordance with Point 2 of Part A of Annex XIII to Regulation (EU) No 1169/2011 of the European Parliament and of the Council, the designation for the labelling shall be accompanied by ‘contains vitamin D produced by UV-treatment’ or ‘milk containing vitamin D resulting from UV-treatment’.",,,
Vitamin K2 (menaquinone),"To be used in compliance with Directive 2002/46/EC, Regulation (EU) No 609/2013 and/or Regulation (EC) No 1925/2006","To be used in compliance with Directive 2002/46/EC, Regulation (EU) No 609/2013 and/or Regulation (EC) No 1925/2006",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Menaquinone’ or ‘Vitamin K2’,,,
Wheat bran extract,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Wheat bran extract’,The ‘Wheat Bran Extract’ may not be introduced onto the market as a food supplement or food supplement ingredient. Nor may it be added to infant formula.,,
Wheat bran extract,Beer and substitutes,"0,4 g/100 g",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Wheat bran extract’,The ‘Wheat Bran Extract’ may not be introduced onto the market as a food supplement or food supplement ingredient. Nor may it be added to infant formula.,,
Wheat bran extract,Ready to eat cereals,9 g/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Wheat bran extract’,The ‘Wheat Bran Extract’ may not be introduced onto the market as a food supplement or food supplement ingredient. Nor may it be added to infant formula.,,
Wheat bran extract,Dairy products,"2,4 g/100 g",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Wheat bran extract’,The ‘Wheat Bran Extract’ may not be introduced onto the market as a food supplement or food supplement ingredient. Nor may it be added to infant formula.,,
Wheat bran extract,Fruit and vegetable juices,"0,6 g/100 g",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Wheat bran extract’,The ‘Wheat Bran Extract’ may not be introduced onto the market as a food supplement or food supplement ingredient. Nor may it be added to infant formula.,,
Wheat bran extract,Soft drinks,"0,6 g/100 g",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Wheat bran extract’,The ‘Wheat Bran Extract’ may not be introduced onto the market as a food supplement or food supplement ingredient. Nor may it be added to infant formula.,,
Wheat bran extract,Meat preparations,2 g/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Wheat bran extract’,The ‘Wheat Bran Extract’ may not be introduced onto the market as a food supplement or food supplement ingredient. Nor may it be added to infant formula.,,
Xylo-oligosaccharides,Specified food category,Maximum levels (**),The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Xylo-oligosaccharides’,,,
Xylo-oligosaccharides,White bread,14 g/kg,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Xylo-oligosaccharides’,,,
Xylo-oligosaccharides,Whole meal bread,14 g/kg,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Xylo-oligosaccharides’,,,
Xylo-oligosaccharides,Breakfast cereals,14 g/kg,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Xylo-oligosaccharides’,,,
Xylo-oligosaccharides,Biscuits,14 g/kg,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Xylo-oligosaccharides’,,,
Xylo-oligosaccharides,Soy drink,"3,5 g/kg",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Xylo-oligosaccharides’,,,
Xylo-oligosaccharides,Yoghurt (*),"3,5 g/kg",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Xylo-oligosaccharides’,,,
Xylo-oligosaccharides,Fruit spreads,30 g/kg,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Xylo-oligosaccharides’,,,
Xylo-oligosaccharides,Chocolate confectionery,30 g/kg,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Xylo-oligosaccharides’,,,
Xylo-oligosaccharides,"(*)
When used in milk products xylo-oligosaccharides shall not replace, in whole or in part, any milk constituent
(**)
Maximum levels calculated on the basis of the specifications of Powder form 1.","(*) When used in milk products xylo-oligosaccharides shall not replace, in whole or in part, any milk constituent; (**) Maximum levels calculated on the basis of the specifications of Powder form 1.",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Xylo-oligosaccharides’,,,
Yarrowia lipolytica yeast biomass,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Yarrowia lipolytica yeast heat-killed biomass’,,,
Yarrowia lipolytica yeast biomass,"Food Supplements as defined in Directive 2002/46/EC, excluding food supplements for infants and young children","6 g/day for children from 10 years of age, adolescents and general adult population; 3 g/day for children from 3 to 9 years of age",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Yarrowia lipolytica yeast heat-killed biomass’,,,
Yeast beta-glucans,Specified food category,Maximum levels of pure beta-glucans from yeast (Saccharomyces cervisiae),The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Yeast (Saccharomyces cerevisiae) beta-glucans’,,,
Yeast beta-glucans,"Food supplements as defined in Directive 2002/46/EC, excluding food supplements for infants and young children","1,275 g/day for children older than 12 years and general adult population; 0,675 g/day for children younger than 12 years",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Yeast (Saccharomyces cerevisiae) beta-glucans’,,,
Yeast beta-glucans,Total diet replacement for weight control as defined in Regulation (EU) No 609/2013,"1,275 g/day",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Yeast (Saccharomyces cerevisiae) beta-glucans’,,,
Yeast beta-glucans,"Food for special medical purposes as defined in Regulation (EU) No 609/2013, excluding food for special medical purposes intended for infants and young children","1,275 g/day",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Yeast (Saccharomyces cerevisiae) beta-glucans’,,,
Yeast beta-glucans,Beverages based on fruit and/or vegetable juices including concentrate and dehydrated juices,"1,3 g/kg",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Yeast (Saccharomyces cerevisiae) beta-glucans’,,,
Yeast beta-glucans,Fruit-flavoured drinks,"0,8 g/kg",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Yeast (Saccharomyces cerevisiae) beta-glucans’,,,
Yeast beta-glucans,Cocoa beverages preparation powder,"38,3 g/kg (powder)",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Yeast (Saccharomyces cerevisiae) beta-glucans’,,,
